Carapace data used for phylogenetic analysis,Mass data used for phylogenetic analysis,Max mass used?,Max SCL used?,Captive?,Combined populations?,Genus,Species,Common Name,Family,M Mass (g),F Mass (g),N,Locality,M SCL (mm),F SCL (mm),M Max Mass (g),F Max Mass (g),Pop Max Mass (g),M Max SCL (mm),F Max SCL (mm),Pop Max SCL (mm),KWR notes,Mass Source,SCL Original Source,SCL Dataset Source,secondary mass source,,,,,,
,,,,,,Mauremys,rivulata,Western Caspian turtle,Geoemydidae,381,594,"41M, 16F","Cukurkoy valley, İzmir Province, Aegian Region, Turkey",146,168,872,878,878,205,188,205,,"Auer, M., and E. Taskavak. 2004. Population Structures of Syntopic Emys orbicularis and Mauremys rivulata in Western Turkey. Biologia, Bratislava 59 Supplement 14: 81-84.",,,,,,,,,
,,,,,,Mauremys,rivulata,,Geoemydidae,,,,,98,125,,,,,,,,,"Busack & Ernst, 1980","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,yes,,,,,Mauremys,sinensis,Chinese stripe-necked turtle,Geoemydidae,272.8,527.2,"249M, 155F","Keelung River, northern Taiwan",126,159.4,,,,198.4,269.9,269.9,,"Chen, T., and K. Lue. 1998. Ecology of the Chinese Stripe-necked Turtle, Ocadia sinensis (Testudines: Emydidae), in the Keelung River, Northern Taiwan. Copeia 1998(4): 944-962.",,,,,,,,,
,,,,,,Mauremys,sinensis,,Geoemydidae,,,,,150.9,190.7,,,,192.1,264.8,,,,"Gibbons & Lovich, 1990; Chen & Lue, 1998;  Chen & Lue 2008","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Mauremys ,annamensis,,Geoemydidae,,,,,168.7,191.1,,,,188,285,,,,"Iverson & McCord, 1994","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Mauremys ,leprosa,,Geoemydidae,,,"45M, F43",,175,205,,,,,,,,,Munoz and Nicolau 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Mauremys ,mutica,,Geoemydidae,,,"28M, F25",,187,187,,,,,,,,,Iverson and McCord 1994,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Mauremys ,reevesii,,Geoemydidae,,,"12M, F19",,146,182,,,,,,,,,Mao 1971,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Mauremys ,rivulata,,Geoemydidae,,,"14M, F19",,215,211,,,,,,,,,Ayaz et al. 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Mauremys ,sinensis,,Geoemydidae,,,"289M, F223",,198,270,,,,,,,,,Chen and Lue 1998,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Melanochelys,tricarinata,tricarinate hill-turtle,Geoemydidae,461.5,384.4,82,India,,,,,,,,,,"Kumar, R.S., A. Harihar, and B. Pandav. 2009. A natural history account of the Tricarinate Hill-Turtle, Melanochelys tricarinata in the Doon Valley, northern India. Pp 105-109 In: Vasudevan, K. (ed), Freshwater turtles and tortoises of India. ENVIS Bulletin: Wildlife and Protected Areas, Vol. 12(1). Wildlife Institute of India, Dehradun, India.",,,,,,,,,
yes,yes,,,,,Melanochelys,tricarinata,tricarinate hill turtle,Geoemydidae,1000,1800,,"Orang National Park, Assam state, India",135,177.5,,,,147,185,185,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
,,,,,,Melanochelys,tricarinata,,Geoemydidae,,,,,,,,,,196,156,,,,Gemel pers. comm. to JBI,"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Melanochelys,trijuga,,Geoemydidae,,,,,150.9,223,,,,,,,,,"Premkishore & Chandran, 1996","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Melanochelys,trijuga,,Geoemydidae,,,"12M, F17",,250,220,,,,,,,,,Mukherjee et al. 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Mesoclemmys,dahli,,Chelidae,,,"?M, F?",,170,215,,,,,,,,,Pritchard and Trebbau 1984,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,yes,,,yes,,Mesoclemmys,gibba,Gibba toadhead turtle,Chelidae,428.3,444.7,"6M, 6F",,160,159,,,,,,,"note: captive, from animal dealer","Onkonburi, J., and D.R. Formanowicz, Jr. 1997. Prey Choice by Predators: Effect of Prey Vulnerability. Ethology Ecology & Evolution 9: 19-25.",,,,,,,,,
,,,,,,Mesoclemmys,gibba,,Chelidae,,,"20M, F17",,170,180,,,,,,,,,Metrailler and Le Gratiet 1996,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Mesoclemmys,heliostemma,,Chelidae,,,,,,,,,,310,310,,,,(W P McCord et al. 2001),"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Mesoclemmys,heliostemma,,Chelidae,,,"?M, F?",,310,310,,,,,,,,,Bonin et al. 2006 ,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Mesoclemmys,hogei,,Chelidae,,,,,327,232,,,,,,,,,"Rhodin et al., 1982","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Mesoclemmys,nasuta,,Chelidae,,,"?M, F?",,250,280,,,,,,,,,Pritchard and Trebbau 1984,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Mesoclemmys,raniceps,,Chelidae,,,"?M, F?",,250,320,,,,,,,,,Pritchard and Trebbau 1984,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Mesoclemmys,vanderhaegei,Vanderhaege’s Toadhead Turtle ,Chelidae,539,1052,"15M, 16F","Alto Paranapanema River basin, Angatuba municipality, Sao Paulo state, Brazil",171,203,,1470,1470,,285,285,,"Marques, T.S., N.R.F. Lara, L.A.B. Bassetti, B.O. Ferronato, A. Malvasio, and L.M. Verdade. 2013. Population Structure of Mesoclemmys vanderhaegei (Testudines, Chelidae) in a Silvicultural System in Southeastern Brazil. Herpetology Notes 6: 179-182.",,,,,,,,,
,,,,,,Mesoclemmys,vanderhaegei,Vanderhaege’s Toadhead Turtle ,Chelidae,260,453.29,"27M, 42F","Chapada dos Guimaraes municipality, Mato Grosso state, Brazil",139,168,600,650,650,180,193,193,,"Brito, E.S. C. Strussmann, and J.M.F. Penha. 2009. Population Structure of Mesoclemmys vanderhaegei (Bour, 1973) (Testudines: Chelidae) in the Cerrado of Chapada dos Guimaraes, Mato Grosso, Brazil. Biota Neotropica 9(4): 245-248.",,,,,,,,,
,,,,,,Mesoclemmys,vanderhaegei,,Chelidae,,,,,117,162,,,,,,,,,(Yanosky et al. 2000),"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Mesoclemmys,vanderhaegei,,Chelidae,,,"?M, F?",,220,262,,,,,,,,,Bonin et al. 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Mesoclemmys,zuliae,,Chelidae,,,,,191,263,,,,208,279,,,,(P C H Pritchard and Trebbau 1984; P. C. H.  Pritchard 1987; Bonin et al. 2006),"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Mesoclemmys,zuliae,,Chelidae,,,"?M, F?",,208,279,,,,,,,,,Bonin et al. 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,yes,,,,,Mesoclemmys ,tuberculata,tuberculate toadhead turtle,Chelidae,303.3,657.4,"11M, 25F","Barro Vermelho, Maranhao state, Brazil",127.3,165.2,480,1300,1300,148.9,212,212,,"Batistella, A.M. 2008. Biologia de Trachemys adiutrix (Vanzolini, 1995) (Testudines, Emydidae) no Litoral do Nordeste - Brazil. Doctoral Thesis. Federal University of Amazonas.",,,,,,,,,
yes,,,,,,Morenia,ocellata,,Geoemydidae,,,"?M, F?",,155,210,,,,,,,,,Bourret 2005,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Morenia,petersi,Indian oscillated turtle,Geoemydidae,820,1150,,Bangladesh,,,,,,,,,,"Schleich, H.H., W. Kastle (eds). 2002. Amphibians and reptiles of Nepal. Gantner Verlag K.G.",,,,,,,,,
yes,,,,,,Morenia,petersi,Indian eyed turtle,Geoemydidae,1200,1150,,"Orang National Park, Assam state, India",178.5,230,,,,194,260,260,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
,,,,,,Morenia,petersi,,Geoemydidae,,,"13M, F12",,194,222,,,,,,,,,Rashid and Swingland 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,yes,,,,,Myuchelys,georgesi,Bellinger River turtle,Chelidae,462.2,977.3,"221M, 170F","Bellinger River, Thora, New South Wales, Australia",161.1,203.9,1060,1430,1430,212,231,231,,"Blamires, S.J., R.-J. Spencer, P. King, and M.B. Thompson. 2005. Population Parameters and Life Table Analysis of Two Co-existing Freshwater Turtles: Are the Bellinger River Turtle Populations Threatened? Wildlife Research 32: 339-347.",,,,,,,,,
,,,,,,Myuchelys,georgesi,,Chelidae,,,"38M, F22",,172,217,,,,,,,,,Allanson and Georges 1999,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,yes,,,,,Myuchelys,latisternum,sawshelled turtle,Chelidae,257,840,"29M, 15F","Johnstone River, northern Queensland, Australia",127.6,181.5,,,,157.2,234.1,,note: highly variable in size by region,"Freeman, A., and J. Cann. 2014. Myuchelys latisternum (Gray 1867) - Sawshelled Turtle, Saw-shell Turtle. Chelonian Research Monographs 5: 73.1-73.8.",,,,,,,,,
,,,,,,Myuchelys,latisternum,,Chelidae,,,,,199.3,262.3,,,,,,,,,(Hamann et al. 2008),"Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Myuchelys,latisternum,,Chelidae,,,"~ 433M, F~ 433",,227,291,,,,,,,,,Cann and Legler 1994,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Aspideretes,gangetica,Ganges soft-shelled turtle,Trionychidae,35000,30300,,"Orang National Park, Assam state, India",427.1,847.5,,,,451,940,940,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
yes,,,,,,Aspideretes,gangetica,,Trionychidae,,,"18M, F20",,770,780,,,,,,,,,Rashid and Swingland 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Aspideretes,gangetica,Indian softshell turtle,Trionychidae,42000,54700,,Bangladesh,,,,,,,,,,"Schleich, H.H., W. Kastle (eds). 2002. Amphibians and reptiles of Nepal. Gantner Verlag K.G.",,,,,,,,,
,,,,,,Nilssonia,hurum,Indian peacock softshell turtle,Trionychidae,9100,7700,,Bangladesh,,,,,,,,,,"Schleich, H.H., W. Kastle (eds). 2002. Amphibians and reptiles of Nepal. Gantner Verlag K.G.",,,,,,,,,
yes,yes,,,,,Nilssonia,hurum,peacock soft-shelled turtle,Trionychidae,10200,27000,,"Orang National Park, Assam state, India",150,547.5,,,,170,600,600,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
,,,,,,Nilssonia,hurum,,Trionychidae,,,"46M, F106",,455,410,,,,,,,,,Rashid and Swingland 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,yes,,,,,Nilssonia,nigricans,black soft-shelled turtle,Trionychidae,15110,35320,,"Orang National Park, Assam state, India",491.5,540.55,,,,580,541.1,580,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
,,,,,,Nilssonia,nigricans,,Trionychidae,,,"54M, F46",,780,740,,,,,,,,,Ahsan and Saeed 1989,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Notochelys,platynota,,Geoemydidae,,,"16M, F44",,282,330,,,,,,,,,Brophy and Ernst 2004,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Palea,steindachneri,wattle-necked softshell turtle,Trionychidae,3260,10100,"1M, 1F","Honolulu Zoo, island of Oahu, Hawaii",300,338.33,,,,,426,426,"note: male CL 300 mm, female CL 426 mm. Female largest of 5 females","McKeown, S., and R.G. Webb. 1982. Softshell Turtles in Hawaii. Journal of Herpetology 16(2): 107-111.",,,,,,,,,
yes,,,,,,Palea,steindachneri,,Trionychidae,,,"?M, F?",,360,445,,,,,,,,,Ernst and Lovich 2009,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,yes,,,,,Pangshura,smithii,brown-roofed turtle,Geoemydidae,1000,1500,,"Orang National Park, Assam state, India",106,139.5,,,,107,185,185,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
,,,,,,Pangshura,smithii,,Geoemydidae,,,"10M, F18",,97,240,,,,,,,,,Rashid and Swingland 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,yes,,,,,Pangshura,sylhetensis,Assam roofed turtle,Geoemydidae,700,1150,,"Orang National Park, Assam state, India",84.5,207.5,,,,97,210,210,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
,,,,,,Pangshura,tecta,Indian roofed turtle,Geoemydidae,896,965,"16M, 36F",Bangladesh,,,,,,,,,,"Hossain, M.L. & S.U. Sarker. 1995. Reproductive biology of the Indian Roofed turtle, Kachuga tecta, in Bangladesh. Chelonian Conservation and Biology 1:226-227.",,,,,,,,,
yes,,,,,,Pangshura,tecta,Indian roofed turtle,Geoemydidae,700,1000,,"Orang National Park, Assam state, India",113.1,126,,,,128.2,146,146,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
,,,,,,Pangshura,tecta,,Geoemydidae,,,,,361.8,423.3,,,,212,224,,,,"Agarwal et al., 1986; Hossain & Sarker, 1995a","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Pangshura,tentoria,Indian tent turtle,Geoemydidae,794,1335,,"Uttar Pradesh state, India",,,,,,,,,,"Narain, S., A. Tripathi, and S.B. Mishra. 2006. Population Ecology of a Freshwater Turtle Kachuga tentoria Near Panchnada (Etawah:U.P.) and its Role as a Water Purifer. Journal of Environmental Biology 27(3): 589-596.",,,,,,,,,
,yes,,,,,Pangshura,tentoria,Indian tent turtle,Geoemydidae,800,1400,,"Orang National Park, Assam state, India",124.5,144.5,,,,179,204,204,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
yes,,,,,,Pangshura,tentoria,,Geoemydidae,,,,,150.7,215.3,,,,,,,,,"Bhadauria & Misra, 1988; Gibbons & Lovich, 1990; Narain et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Pangshura,tentoria,,Geoemydidae,,,"15M, F10",,101,240,,,,,,,,,Rashid and Swingland 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Pelodiscus,sinensis,,Trionychidae,,,,,149,135,,,,,,,,,"Gibbons & Lovich, 1990","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Pelodiscus,sinensis,,Trionychidae,,,"?M, F?",,270,330,,,,,,,,,Ernst and Lovich 2009,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Pelomedusa,subrufa,helmeted turtle,Pelomedusidae,,,,Sub-Saharan Africa,,290,3000,2200,3000,325,,,,"Boycott, R.C., and O. Bourquin.  2008. Pelomedusa subrufa (Lacepede 1788) - Helmeted Turtle, Helmeted Terrapin. Chelonian Research Monographs 5.",,,,,,,,,
,yes,yes,,,,Pelomedusa,subrufa,helmeted turtle,Pelomedusidae,,,,southern Africa,,,2500,2200,2500,325,293,,,"Boycott, R.C., and O. Bourquin. 2000. The Southern African Tortoise Book: A Guide to Southern African Tortoises, Terrapins and Turtles. ",,,,,,,,,
yes,,,yes,,,Pelomedusa,subrufa,,Pelomedusidae,,,,,,,,,,325,293,,,,"Boycott & Bourquin, 2008","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Pelomedusa ,subrufa,,Pelomedusidae,,,"?M, F?",,325,290,,,,,,,,,Boycott and Bourquin 2008,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
